"order","t"
"O1",51.0
"O2",15.0
"O3",15.0
"O4",24.0
"O5",30.0
"O6",12.0
"O7",30.0
"O8",18.0
"O9",18.0
"O10",36.0
"O11",21.0
"O12",24.0
"O13",15.0
"O14",36.0
"O15",18.0
"O16",12.0
"O17",21.0
"O18",15.0
"O19",18.0
"O20",27.0
"O21",21.0
"O22",21.0
"O23",24.0
"O24",21.0
"O25",18.0
"O26",12.0
"O27",30.0
"O28",24.0
"O29",18.0
"O30",18.0
"O31",12.0
"O32",18.0
"O33",27.0
"O34",18.0
"O35",12.0
"O36",21.0
"O37",21.0
"O38",18.0
"O39",18.0
"O40",27.0
"O41",24.0
"O42",30.0
"O43",18.0
"O44",18.0
"O45",24.0
"O46",18.0
"O47",15.0
"O48",18.0
"O49",18.0
"O50",24.0
"O51",18.0
"O52",18.0
"O53",24.0
"O54",12.0
"O55",18.0
"O56",21.0
"O57",15.0
"O58",30.0
"O59",18.0
"O60",15.0
"O61",24.0
"O62",21.0
"O63",21.0
"O64",21.0
"O65",24.0
"O66",30.0
"O67",21.0
"O68",21.0
"O69",21.0
"O70",24.0
"O71",24.0
"O72",33.0
"O73",21.0
"O74",24.0
"O75",21.0
"O76",21.0
"O77",24.0
"O78",21.0
"O79",21.0
"O80",33.0
"O81",21.0
"O82",24.0
"O83",21.0
"O84",24.0
"O85",21.0
"O86",21.0
"O87",21.0
"O88",21.0
"O89",21.0
"O90",27.0
"O91",30.0
"O92",24.0
"O93",36.0
"O94",36.0
"O95",36.0
"O96",24.0
"O97",24.0
"O98",24.0
"O99",24.0
"O100",24.0
"O101",21.0
"O102",36.0
"O103",24.0
"O104",27.0
"O105",24.0
"O106",27.0
"O107",24.0
"O108",24.0
"O109",24.0
"O110",33.0
"O111",27.0
"O112",27.0
"O113",27.0
"O114",27.0
"O115",30.0
"O116",27.0
"O117",27.0
"O118",27.0
"O119",27.0
"O120",27.0
"O121",27.0
"O122",27.0
"O123",27.0
"O124",27.0
"O125",30.0
"O126",27.0
"O127",27.0
"O128",36.0
"O129",39.0
"O130",42.0
"O131",42.0
"O132",42.0
"O133",42.0
"O134",42.0
"O135",42.0
"O136",42.0
"O137",45.0
"O138",45.0
"O139",45.0
"O140",45.0
"O141",48.0
"O142",45.0
"O143",48.0
"O144",48.0
"O145",48.0
"O146",48.0
"O147",48.0
"O148",48.0
"O149",48.0
"O150",48.0
"O151",48.0
"O152",48.0
"O153",48.0
"O154",51.0
"O155",48.0
"O156",48.0
"O157",51.0
"O158",39.0
"O159",39.0
"O160",39.0
"O161",39.0
"O162",42.0
"O163",42.0
"O164",42.0
"O165",42.0
"O166",42.0
"O167",42.0
"O168",42.0
"O169",42.0
"O170",42.0
"O171",42.0
"O172",42.0
"O173",42.0
"O174",42.0
"O175",42.0
"O176",42.0
"O177",42.0
"O178",42.0
"O179",42.0
"O180",42.0
"O181",45.0
"O182",45.0
"O183",45.0
"O184",45.0
"O185",45.0
"O186",45.0
"O187",45.0
"O188",45.0
"O189",45.0
"O190",45.0
"O191",48.0
"O192",48.0
"O193",48.0
"O194",48.0
"O195",48.0
"O196",48.0
"O197",48.0
"O198",48.0
"O199",48.0
"O200",48.0
"O201",48.0
"O202",48.0
"O203",48.0
"O204",48.0
"O205",48.0
"O206",48.0
"O207",48.0
"O208",48.0
"O209",51.0
