"order","t"
"O1",33.0
"O2",18.0
"O3",21.0
"O4",21.0
"O5",24.0
"O6",24.0
"O7",15.0
"O8",30.0
"O9",18.0
"O10",27.0
"O11",12.0
"O12",12.0
"O13",21.0
"O14",15.0
"O15",24.0
"O16",18.0
"O17",15.0
"O18",15.0
"O19",18.0
"O20",21.0
"O21",24.0
"O22",18.0
"O23",15.0
"O24",15.0
"O25",15.0
"O26",21.0
"O27",15.0
"O28",9.0
"O29",15.0
"O30",9.0
"O31",24.0
"O32",12.0
"O33",24.0
"O34",21.0
"O35",12.0
"O36",21.0
"O37",9.0
"O38",24.0
"O39",12.0
"O40",18.0
"O41",15.0
"O42",18.0
"O43",15.0
"O44",15.0
"O45",12.0
"O46",18.0
"O47",12.0
"O48",30.0
"O49",12.0
"O50",15.0
"O51",18.0
"O52",24.0
"O53",27.0
"O54",21.0
"O55",18.0
"O56",15.0
"O57",12.0
"O58",21.0
"O59",21.0
"O60",12.0
"O61",21.0
"O62",15.0
"O63",24.0
"O64",15.0
"O65",24.0
"O66",18.0
"O67",18.0
"O68",15.0
"O69",15.0
"O70",18.0
"O71",21.0
"O72",18.0
"O73",30.0
"O74",15.0
"O75",15.0
"O76",18.0
"O77",21.0
"O78",15.0
"O79",15.0
"O80",24.0
"O81",21.0
"O82",27.0
"O83",18.0
"O84",18.0
"O85",30.0
"O86",21.0
"O87",24.0
"O88",24.0
"O89",18.0
"O90",18.0
"O91",24.0
"O92",18.0
"O93",18.0
"O94",18.0
"O95",21.0
"O96",21.0
"O97",18.0
"O98",24.0
"O99",21.0
"O100",21.0
"O101",27.0
"O102",18.0
"O103",24.0
"O104",21.0
"O105",21.0
"O106",21.0
"O107",24.0
"O108",21.0
"O109",30.0
"O110",27.0
"O111",24.0
"O112",21.0
"O113",21.0
"O114",21.0
"O115",24.0
"O116",24.0
"O117",21.0
"O118",21.0
"O119",21.0
"O120",24.0
"O121",24.0
"O122",24.0
"O123",24.0
"O124",27.0
"O125",27.0
"O126",27.0
"O127",27.0
"O128",30.0
"O129",27.0
"O130",27.0
"O131",27.0
"O132",27.0
"O133",27.0
"O134",27.0
"O135",27.0
"O136",27.0
"O137",33.0
"O138",27.0
"O139",30.0
"O140",30.0
"O141",30.0
"O142",30.0
"O143",30.0
"O144",30.0
"O145",30.0
"O146",30.0
"O147",30.0
"O148",30.0
"O149",30.0
"O150",30.0
"O151",30.0
"O152",30.0
"O153",33.0
"O154",30.0
"O155",30.0
"O156",30.0
"O157",30.0
"O158",33.0
"O159",30.0
"O160",33.0
"O161",33.0
"O162",33.0
"O163",45.0
"O164",33.0
"O165",33.0
"O166",33.0
"O167",33.0
"O168",33.0
"O169",33.0
"O170",36.0
"O171",33.0
"O172",33.0
"O173",33.0
"O174",33.0
"O175",33.0
"O176",33.0
"O177",33.0
"O178",33.0
"O179",33.0
"O180",33.0
"O181",36.0
"O182",36.0
"O183",36.0
"O184",36.0
"O185",39.0
"O186",36.0
"O187",36.0
"O188",36.0
"O189",33.0
"O190",36.0
"O191",36.0
"O192",36.0
"O193",36.0
"O194",36.0
"O195",39.0
"O196",36.0
"O197",36.0
"O198",36.0
"O199",36.0
"O200",36.0
"O201",36.0
"O202",36.0
"O203",39.0
"O204",39.0
"O205",39.0
"O206",36.0
"O207",36.0
"O208",36.0
"O209",39.0
"O210",36.0
"O211",36.0
"O212",36.0
"O213",39.0
"O214",36.0
"O215",36.0
"O216",36.0
"O217",39.0
"O218",39.0
"O219",42.0
"O220",39.0
"O221",39.0
"O222",39.0
"O223",39.0
"O224",42.0
"O225",42.0
"O226",48.0
"O227",51.0
"O228",48.0
"O229",48.0
"O230",51.0
"O231",48.0
"O232",51.0
"O233",48.0
"O234",48.0
"O235",51.0
"O236",48.0
"O237",51.0
