"order","t"
"O1",21.0
"O2",3.0
"O3",6.0
"O4",24.0
"O5",18.0
"O6",9.0
"O7",21.0
"O8",12.0
"O9",12.0
"O10",21.0
"O11",18.0
"O12",18.0
"O13",12.0
"O14",15.0
"O15",3.0
"O16",18.0
"O17",18.0
"O18",18.0
"O19",33.0
"O20",30.0
"O21",21.0
"O22",15.0
"O23",18.0
"O24",9.0
"O25",9.0
"O26",12.0
"O27",9.0
"O28",9.0
"O29",21.0
"O30",15.0
"O31",15.0
"O32",15.0
"O33",18.0
"O34",9.0
"O35",9.0
"O36",15.0
"O37",24.0
"O38",18.0
"O39",27.0
"O40",24.0
"O41",24.0
"O42",12.0
"O43",21.0
"O44",21.0
"O45",24.0
"O46",21.0
"O47",18.0
"O48",15.0
"O49",21.0
"O50",18.0
"O51",21.0
"O52",15.0
"O53",18.0
"O54",15.0
"O55",18.0
"O56",24.0
"O57",24.0
"O58",21.0
"O59",27.0
"O60",27.0
"O61",15.0
"O62",30.0
"O63",27.0
"O64",21.0
"O65",18.0
"O66",18.0
"O67",18.0
"O68",18.0
"O69",30.0
"O70",21.0
"O71",21.0
"O72",27.0
"O73",24.0
"O74",24.0
"O75",24.0
"O76",27.0
"O77",24.0
"O78",24.0
"O79",24.0
"O80",24.0
"O81",27.0
"O82",24.0
"O83",24.0
"O84",24.0
"O85",27.0
"O86",24.0
"O87",24.0
"O88",24.0
"O89",24.0
"O90",24.0
"O91",24.0
"O92",36.0
"O93",36.0
"O94",30.0
"O95",27.0
"O96",30.0
"O97",30.0
"O98",30.0
"O99",27.0
"O100",27.0
"O101",27.0
"O102",30.0
"O103",30.0
"O104",27.0
"O105",27.0
"O106",33.0
"O107",36.0
"O108",30.0
"O109",30.0
"O110",30.0
"O111",33.0
"O112",33.0
"O113",33.0
"O114",33.0
"O115",36.0
"O116",33.0
"O117",33.0
"O118",33.0
"O119",33.0
"O120",36.0
"O121",33.0
"O122",36.0
"O123",36.0
"O124",36.0
"O125",33.0
"O126",33.0
"O127",36.0
"O128",33.0
"O129",33.0
"O130",33.0
"O131",33.0
"O132",36.0
"O133",36.0
"O134",36.0
"O135",36.0
"O136",36.0
"O137",36.0
"O138",36.0
"O139",36.0
"O140",36.0
"O141",36.0
"O142",36.0
"O143",36.0
"O144",36.0
"O145",36.0
"O146",39.0
"O147",36.0
"O148",36.0
"O149",39.0
"O150",39.0
"O151",39.0
"O152",39.0
"O153",42.0
"O154",39.0
"O155",39.0
"O156",39.0
"O157",39.0
"O158",39.0
"O159",39.0
"O160",39.0
"O161",42.0
"O162",42.0
"O163",42.0
"O164",45.0
"O165",45.0
"O166",45.0
"O167",45.0
"O168",45.0
"O169",45.0
"O170",45.0
"O171",48.0
"O172",48.0
"O173",48.0
"O174",45.0
"O175",45.0
"O176",45.0
"O177",48.0
"O178",48.0
"O179",48.0
"O180",48.0
"O181",48.0
"O182",48.0
