"order","t"
"O1",27.0
"O2",9.0
"O3",21.0
"O4",18.0
"O5",21.0
"O6",12.0
"O7",27.0
"O8",12.0
"O9",27.0
"O10",30.0
"O11",27.0
"O12",21.0
"O13",15.0
"O14",30.0
"O15",24.0
"O16",27.0
"O17",21.0
"O18",27.0
"O19",21.0
"O20",33.0
"O21",12.0
"O22",15.0
"O23",21.0
"O24",21.0
"O25",18.0
"O26",24.0
"O27",18.0
"O28",36.0
"O29",30.0
"O30",30.0
"O31",21.0
"O32",21.0
"O33",18.0
"O34",24.0
"O35",24.0
"O36",18.0
"O37",15.0
"O38",15.0
"O39",30.0
"O40",18.0
"O41",21.0
"O42",21.0
"O43",12.0
"O44",24.0
"O45",12.0
"O46",18.0
"O47",30.0
"O48",12.0
"O49",30.0
"O50",27.0
"O51",15.0
"O52",12.0
"O53",24.0
"O54",24.0
"O55",24.0
"O56",18.0
"O57",9.0
"O58",24.0
"O59",18.0
"O60",24.0
"O61",21.0
"O62",33.0
"O63",18.0
"O64",24.0
"O65",33.0
"O66",12.0
"O67",18.0
"O68",24.0
"O69",36.0
"O70",33.0
"O71",12.0
"O72",21.0
"O73",27.0
"O74",21.0
"O75",24.0
"O76",18.0
"O77",30.0
"O78",18.0
"O79",33.0
"O80",24.0
"O81",12.0
"O82",15.0
"O83",12.0
"O84",15.0
"O85",18.0
"O86",18.0
"O87",24.0
"O88",24.0
"O89",21.0
"O90",21.0
"O91",21.0
"O92",24.0
"O93",24.0
"O94",21.0
"O95",21.0
"O96",30.0
"O97",30.0
"O98",27.0
"O99",24.0
"O100",36.0
"O101",24.0
"O102",30.0
"O103",24.0
"O104",24.0
"O105",24.0
"O106",30.0
"O107",24.0
"O108",24.0
"O109",30.0
"O110",24.0
"O111",24.0
"O112",27.0
"O113",24.0
"O114",24.0
"O115",24.0
"O116",24.0
"O117",24.0
"O118",33.0
"O119",27.0
"O120",27.0
"O121",27.0
"O122",27.0
"O123",27.0
"O124",27.0
"O125",27.0
"O126",30.0
"O127",27.0
"O128",27.0
"O129",27.0
"O130",27.0
"O131",30.0
"O132",27.0
"O133",27.0
"O134",27.0
"O135",33.0
"O136",30.0
"O137",30.0
"O138",30.0
"O139",30.0
"O140",30.0
"O141",30.0
"O142",30.0
"O143",30.0
"O144",30.0
"O145",39.0
"O146",30.0
"O147",30.0
"O148",30.0
"O149",33.0
"O150",33.0
"O151",33.0
"O152",45.0
"O153",45.0
"O154",45.0
"O155",45.0
"O156",45.0
"O157",45.0
"O158",48.0
"O159",48.0
"O160",36.0
"O161",36.0
"O162",36.0
"O163",36.0
"O164",48.0
"O165",36.0
"O166",36.0
"O167",39.0
"O168",36.0
"O169",48.0
"O170",36.0
"O171",39.0
"O172",39.0
"O173",39.0
"O174",36.0
"O175",39.0
"O176",39.0
"O177",39.0
"O178",39.0
"O179",39.0
"O180",39.0
"O181",45.0
"O182",42.0
"O183",45.0
"O184",42.0
"O185",48.0
"O186",45.0
"O187",42.0
"O188",42.0
"O189",51.0
"O190",45.0
"O191",48.0
"O192",45.0
"O193",45.0
"O194",48.0
"O195",48.0
"O196",48.0
"O197",48.0
"O198",48.0
"O199",48.0
"O200",51.0
