"order","t"
"O1",24.0
"O2",24.0
"O3",27.0
"O4",30.0
"O5",18.0
"O6",24.0
"O7",18.0
"O8",21.0
"O9",9.0
"O10",24.0
"O11",9.0
"O12",9.0
"O13",18.0
"O14",30.0
"O15",21.0
"O16",6.0
"O17",18.0
"O18",9.0
"O19",21.0
"O20",30.0
"O21",18.0
"O22",18.0
"O23",9.0
"O24",12.0
"O25",24.0
"O26",15.0
"O27",15.0
"O28",27.0
"O29",9.0
"O30",21.0
"O31",27.0
"O32",15.0
"O33",30.0
"O34",21.0
"O35",21.0
"O36",48.0
"O37",12.0
"O38",18.0
"O39",24.0
"O40",24.0
"O41",24.0
"O42",27.0
"O43",24.0
"O44",18.0
"O45",18.0
"O46",15.0
"O47",24.0
"O48",21.0
"O49",15.0
"O50",15.0
"O51",18.0
"O52",30.0
"O53",33.0
"O54",21.0
"O55",18.0
"O56",24.0
"O57",18.0
"O58",21.0
"O59",21.0
"O60",21.0
"O61",24.0
"O62",30.0
"O63",24.0
"O64",21.0
"O65",27.0
"O66",24.0
"O67",24.0
"O68",24.0
"O69",24.0
"O70",24.0
"O71",24.0
"O72",18.0
"O73",18.0
"O74",24.0
"O75",21.0
"O76",21.0
"O77",18.0
"O78",27.0
"O79",30.0
"O80",36.0
"O81",21.0
"O82",21.0
"O83",27.0
"O84",27.0
"O85",27.0
"O86",33.0
"O87",27.0
"O88",27.0
"O89",27.0
"O90",27.0
"O91",27.0
"O92",24.0
"O93",24.0
"O94",39.0
"O95",30.0
"O96",24.0
"O97",24.0
"O98",27.0
"O99",27.0
"O100",27.0
"O101",30.0
"O102",27.0
"O103",30.0
"O104",27.0
"O105",27.0
"O106",36.0
"O107",27.0
"O108",27.0
"O109",27.0
"O110",27.0
"O111",33.0
"O112",27.0
"O113",30.0
"O114",33.0
"O115",21.0
"O116",33.0
"O117",33.0
"O118",33.0
"O119",33.0
"O120",33.0
"O121",36.0
"O122",33.0
"O123",33.0
"O124",33.0
"O125",33.0
"O126",33.0
"O127",33.0
"O128",33.0
"O129",33.0
"O130",33.0
"O131",33.0
"O132",36.0
"O133",36.0
"O134",36.0
"O135",39.0
"O136",36.0
"O137",36.0
"O138",39.0
"O139",36.0
"O140",36.0
"O141",36.0
"O142",36.0
"O143",36.0
"O144",36.0
"O145",39.0
"O146",39.0
"O147",39.0
"O148",39.0
"O149",39.0
"O150",39.0
"O151",39.0
"O152",39.0
"O153",39.0
"O154",39.0
"O155",39.0
"O156",39.0
"O157",42.0
"O158",39.0
"O159",42.0
"O160",42.0
"O161",42.0
"O162",42.0
"O163",42.0
"O164",42.0
"O165",45.0
"O166",42.0
"O167",42.0
"O168",42.0
"O169",42.0
"O170",42.0
"O171",45.0
"O172",48.0
"O173",45.0
"O174",45.0
"O175",48.0
"O176",48.0
"O177",48.0
"O178",48.0
