"order","t"
"O1",18.0
"O2",24.0
"O3",18.0
"O4",24.0
"O5",18.0
"O6",21.0
"O7",18.0
"O8",18.0
"O9",24.0
"O10",15.0
"O11",18.0
"O12",24.0
"O13",24.0
"O14",21.0
"O15",24.0
"O16",12.0
"O17",21.0
"O18",24.0
"O19",15.0
"O20",30.0
"O21",24.0
"O22",15.0
"O23",21.0
"O24",15.0
"O25",15.0
"O26",21.0
"O27",24.0
"O28",18.0
"O29",36.0
"O30",15.0
"O31",18.0
"O32",24.0
"O33",24.0
"O34",27.0
"O35",24.0
"O36",21.0
"O37",21.0
"O38",12.0
"O39",30.0
"O40",24.0
"O41",30.0
"O42",12.0
"O43",18.0
"O44",15.0
"O45",12.0
"O46",12.0
"O47",21.0
"O48",18.0
"O49",21.0
"O50",21.0
"O51",21.0
"O52",15.0
"O53",15.0
"O54",9.0
"O55",21.0
"O56",27.0
"O57",24.0
"O58",30.0
"O59",9.0
"O60",21.0
"O61",24.0
"O62",15.0
"O63",21.0
"O64",36.0
"O65",33.0
"O66",30.0
"O67",30.0
"O68",30.0
"O69",30.0
"O70",30.0
"O71",15.0
"O72",33.0
"O73",18.0
"O74",24.0
"O75",27.0
"O76",18.0
"O77",21.0
"O78",24.0
"O79",21.0
"O80",18.0
"O81",21.0
"O82",21.0
"O83",21.0
"O84",21.0
"O85",33.0
"O86",21.0
"O87",30.0
"O88",21.0
"O89",27.0
"O90",24.0
"O91",27.0
"O92",30.0
"O93",27.0
"O94",27.0
"O95",33.0
"O96",30.0
"O97",42.0
"O98",24.0
"O99",42.0
"O100",24.0
"O101",24.0
"O102",42.0
"O103",42.0
"O104",24.0
"O105",51.0
"O106",42.0
"O107",45.0
"O108",27.0
"O109",45.0
"O110",30.0
"O111",33.0
"O112",30.0
"O113",36.0
"O114",33.0
"O115",33.0
"O116",27.0
"O117",33.0
"O118",33.0
"O119",33.0
"O120",30.0
"O121",36.0
"O122",36.0
"O123",36.0
"O124",36.0
"O125",36.0
"O126",36.0
"O127",39.0
"O128",36.0
"O129",36.0
"O130",36.0
"O131",36.0
"O132",36.0
"O133",36.0
"O134",36.0
"O135",36.0
"O136",36.0
"O137",36.0
"O138",36.0
"O139",51.0
"O140",33.0
"O141",42.0
"O142",39.0
"O143",42.0
"O144",39.0
"O145",39.0
"O146",42.0
"O147",42.0
"O148",42.0
"O149",42.0
"O150",42.0
"O151",45.0
"O152",45.0
"O153",45.0
"O154",45.0
"O155",45.0
"O156",45.0
"O157",48.0
"O158",45.0
"O159",45.0
"O160",51.0
"O161",45.0
"O162",45.0
"O163",45.0
"O164",51.0
"O165",45.0
"O166",48.0
"O167",45.0
"O168",45.0
"O169",48.0
"O170",48.0
"O171",48.0
"O172",48.0
