"order","t"
"O1",21.0
"O2",27.0
"O3",27.0
"O4",24.0
"O5",21.0
"O6",30.0
"O7",21.0
"O8",18.0
"O9",18.0
"O10",24.0
"O11",21.0
"O12",18.0
"O13",21.0
"O14",21.0
"O15",18.0
"O16",15.0
"O17",24.0
"O18",21.0
"O19",21.0
"O20",18.0
"O21",18.0
"O22",9.0
"O23",3.0
"O24",18.0
"O25",9.0
"O26",27.0
"O27",24.0
"O28",15.0
"O29",15.0
"O30",30.0
"O31",15.0
"O32",12.0
"O33",9.0
"O34",30.0
"O35",18.0
"O36",12.0
"O37",21.0
"O38",15.0
"O39",18.0
"O40",21.0
"O41",30.0
"O42",12.0
"O43",24.0
"O44",12.0
"O45",18.0
"O46",27.0
"O47",15.0
"O48",24.0
"O49",15.0
"O50",18.0
"O51",18.0
"O52",21.0
"O53",24.0
"O54",15.0
"O55",18.0
"O56",24.0
"O57",18.0
"O58",18.0
"O59",18.0
"O60",18.0
"O61",18.0
"O62",36.0
"O63",15.0
"O64",15.0
"O65",21.0
"O66",27.0
"O67",21.0
"O68",21.0
"O69",21.0
"O70",24.0
"O71",24.0
"O72",24.0
"O73",24.0
"O74",27.0
"O75",24.0
"O76",24.0
"O77",24.0
"O78",24.0
"O79",30.0
"O80",30.0
"O81",27.0
"O82",24.0
"O83",24.0
"O84",24.0
"O85",24.0
"O86",27.0
"O87",27.0
"O88",30.0
"O89",27.0
"O90",27.0
"O91",27.0
"O92",27.0
"O93",27.0
"O94",27.0
"O95",30.0
"O96",27.0
"O97",27.0
"O98",27.0
"O99",27.0
"O100",27.0
"O101",27.0
"O102",27.0
"O103",30.0
"O104",45.0
"O105",39.0
"O106",33.0
"O107",30.0
"O108",30.0
"O109",30.0
"O110",30.0
"O111",30.0
"O112",30.0
"O113",33.0
"O114",30.0
"O115",30.0
"O116",30.0
"O117",36.0
"O118",33.0
"O119",33.0
"O120",33.0
"O121",33.0
"O122",33.0
"O123",36.0
"O124",33.0
"O125",36.0
"O126",33.0
"O127",33.0
"O128",42.0
"O129",33.0
"O130",33.0
"O131",33.0
"O132",33.0
"O133",33.0
"O134",36.0
"O135",33.0
"O136",33.0
"O137",33.0
"O138",33.0
"O139",36.0
"O140",36.0
"O141",33.0
"O142",33.0
"O143",33.0
"O144",36.0
"O145",33.0
"O146",36.0
"O147",33.0
"O148",36.0
"O149",42.0
"O150",36.0
"O151",36.0
"O152",36.0
"O153",36.0
"O154",36.0
"O155",51.0
"O156",51.0
"O157",45.0
"O158",51.0
"O159",48.0
"O160",45.0
"O161",48.0
"O162",45.0
"O163",51.0
"O164",48.0
"O165",48.0
"O166",48.0
"O167",48.0
"O168",48.0
"O169",51.0
