"order","t"
"O1",21.0
"O2",30.0
"O3",21.0
"O4",12.0
"O5",30.0
"O6",6.0
"O7",15.0
"O8",21.0
"O9",21.0
"O10",3.0
"O11",18.0
"O12",18.0
"O13",18.0
"O14",21.0
"O15",24.0
"O16",18.0
"O17",3.0
"O18",24.0
"O19",12.0
"O20",30.0
"O21",24.0
"O22",18.0
"O23",24.0
"O24",18.0
"O25",15.0
"O26",9.0
"O27",21.0
"O28",12.0
"O29",24.0
"O30",15.0
"O31",15.0
"O32",15.0
"O33",30.0
"O34",15.0
"O35",15.0
"O36",15.0
"O37",18.0
"O38",27.0
"O39",18.0
"O40",24.0
"O41",21.0
"O42",15.0
"O43",21.0
"O44",15.0
"O45",21.0
"O46",15.0
"O47",21.0
"O48",15.0
"O49",15.0
"O50",15.0
"O51",21.0
"O52",21.0
"O53",27.0
"O54",18.0
"O55",18.0
"O56",27.0
"O57",21.0
"O58",21.0
"O59",21.0
"O60",24.0
"O61",21.0
"O62",21.0
"O63",27.0
"O64",33.0
"O65",27.0
"O66",18.0
"O67",24.0
"O68",21.0
"O69",36.0
"O70",18.0
"O71",21.0
"O72",27.0
"O73",27.0
"O74",27.0
"O75",36.0
"O76",24.0
"O77",33.0
"O78",21.0
"O79",30.0
"O80",27.0
"O81",27.0
"O82",27.0
"O83",30.0
"O84",33.0
"O85",30.0
"O86",30.0
"O87",30.0
"O88",27.0
"O89",30.0
"O90",27.0
"O91",27.0
"O92",30.0
"O93",36.0
"O94",30.0
"O95",27.0
"O96",27.0
"O97",27.0
"O98",30.0
"O99",27.0
"O100",30.0
"O101",27.0
"O102",27.0
"O103",27.0
"O104",33.0
"O105",33.0
"O106",33.0
"O107",30.0
"O108",30.0
"O109",30.0
"O110",30.0
"O111",30.0
"O112",33.0
"O113",33.0
"O114",33.0
"O115",33.0
"O116",36.0
"O117",36.0
"O118",33.0
"O119",36.0
"O120",33.0
"O121",33.0
"O122",36.0
"O123",36.0
"O124",36.0
"O125",36.0
"O126",36.0
"O127",36.0
"O128",36.0
"O129",36.0
"O130",39.0
"O131",39.0
"O132",39.0
"O133",39.0
"O134",39.0
"O135",39.0
"O136",39.0
"O137",39.0
"O138",42.0
"O139",48.0
"O140",42.0
"O141",39.0
"O142",42.0
"O143",42.0
"O144",42.0
"O145",42.0
"O146",42.0
"O147",42.0
"O148",45.0
"O149",45.0
"O150",45.0
"O151",45.0
"O152",48.0
"O153",39.0
"O154",42.0
"O155",39.0
"O156",42.0
"O157",42.0
"O158",45.0
"O159",42.0
"O160",45.0
"O161",45.0
"O162",45.0
"O163",42.0
"O164",42.0
"O165",42.0
"O166",45.0
"O167",42.0
"O168",45.0
"O169",45.0
"O170",45.0
"O171",45.0
"O172",45.0
"O173",48.0
"O174",48.0
"O175",51.0
"O176",48.0
