"order","t"
"O1",18.0
"O2",24.0
"O3",24.0
"O4",18.0
"O5",12.0
"O6",27.0
"O7",42.0
"O8",24.0
"O9",24.0
"O10",15.0
"O11",33.0
"O12",15.0
"O13",15.0
"O14",27.0
"O15",24.0
"O16",3.0
"O17",27.0
"O18",15.0
"O19",15.0
"O20",24.0
"O21",15.0
"O22",18.0
"O23",21.0
"O24",21.0
"O25",18.0
"O26",15.0
"O27",27.0
"O28",3.0
"O29",30.0
"O30",21.0
"O31",12.0
"O32",9.0
"O33",12.0
"O34",9.0
"O35",18.0
"O36",21.0
"O37",24.0
"O38",9.0
"O39",15.0
"O40",18.0
"O41",12.0
"O42",12.0
"O43",9.0
"O44",15.0
"O45",24.0
"O46",24.0
"O47",15.0
"O48",24.0
"O49",24.0
"O50",12.0
"O51",15.0
"O52",21.0
"O53",24.0
"O54",15.0
"O55",21.0
"O56",15.0
"O57",15.0
"O58",21.0
"O59",24.0
"O60",18.0
"O61",15.0
"O62",18.0
"O63",15.0
"O64",21.0
"O65",18.0
"O66",12.0
"O67",12.0
"O68",12.0
"O69",21.0
"O70",15.0
"O71",18.0
"O72",15.0
"O73",12.0
"O74",36.0
"O75",15.0
"O76",12.0
"O77",18.0
"O78",18.0
"O79",15.0
"O80",21.0
"O81",15.0
"O82",21.0
"O83",30.0
"O84",27.0
"O85",30.0
"O86",15.0
"O87",15.0
"O88",21.0
"O89",21.0
"O90",18.0
"O91",18.0
"O92",21.0
"O93",21.0
"O94",18.0
"O95",18.0
"O96",21.0
"O97",30.0
"O98",21.0
"O99",21.0
"O100",24.0
"O101",24.0
"O102",21.0
"O103",24.0
"O104",24.0
"O105",27.0
"O106",36.0
"O107",27.0
"O108",27.0
"O109",27.0
"O110",27.0
"O111",21.0
"O112",42.0
"O113",39.0
"O114",39.0
"O115",39.0
"O116",27.0
"O117",39.0
"O118",27.0
"O119",27.0
"O120",33.0
"O121",39.0
"O122",27.0
"O123",27.0
"O124",24.0
"O125",27.0
"O126",27.0
"O127",27.0
"O128",27.0
"O129",36.0
"O130",27.0
"O131",24.0
"O132",27.0
"O133",30.0
"O134",30.0
"O135",36.0
"O136",30.0
"O137",30.0
"O138",30.0
"O139",30.0
"O140",30.0
"O141",36.0
"O142",30.0
"O143",30.0
"O144",27.0
"O145",30.0
"O146",30.0
"O147",30.0
"O148",30.0
"O149",30.0
"O150",27.0
"O151",33.0
"O152",30.0
"O153",33.0
"O154",33.0
"O155",33.0
"O156",33.0
"O157",36.0
"O158",36.0
"O159",36.0
"O160",36.0
"O161",36.0
"O162",36.0
"O163",36.0
"O164",36.0
"O165",36.0
"O166",36.0
"O167",36.0
"O168",33.0
"O169",36.0
"O170",36.0
"O171",36.0
"O172",36.0
"O173",36.0
"O174",36.0
"O175",36.0
"O176",36.0
"O177",39.0
"O178",36.0
"O179",36.0
"O180",36.0
"O181",39.0
"O182",36.0
"O183",36.0
"O184",36.0
"O185",39.0
"O186",39.0
"O187",39.0
"O188",39.0
"O189",39.0
"O190",39.0
"O191",39.0
"O192",39.0
"O193",39.0
"O194",39.0
"O195",39.0
"O196",39.0
"O197",39.0
"O198",42.0
"O199",39.0
"O200",39.0
"O201",48.0
"O202",42.0
"O203",42.0
"O204",39.0
"O205",36.0
"O206",42.0
"O207",45.0
"O208",42.0
"O209",42.0
"O210",39.0
"O211",42.0
"O212",39.0
"O213",42.0
"O214",42.0
"O215",45.0
"O216",42.0
"O217",42.0
"O218",42.0
"O219",42.0
"O220",42.0
"O221",45.0
"O222",45.0
"O223",45.0
"O224",45.0
"O225",45.0
"O226",45.0
"O227",45.0
"O228",45.0
"O229",45.0
"O230",42.0
"O231",45.0
"O232",48.0
"O233",48.0
"O234",45.0
"O235",45.0
"O236",45.0
"O237",48.0
"O238",48.0
"O239",51.0
