"order","t"
"O1",24.0
"O2",24.0
"O3",21.0
"O4",27.0
"O5",15.0
"O6",24.0
"O7",21.0
"O8",18.0
"O9",27.0
"O10",30.0
"O11",27.0
"O12",21.0
"O13",15.0
"O14",21.0
"O15",18.0
"O16",24.0
"O17",18.0
"O18",21.0
"O19",27.0
"O20",18.0
"O21",12.0
"O22",15.0
"O23",15.0
"O24",27.0
"O25",33.0
"O26",18.0
"O27",27.0
"O28",9.0
"O29",12.0
"O30",24.0
"O31",18.0
"O32",9.0
"O33",15.0
"O34",24.0
"O35",9.0
"O36",24.0
"O37",30.0
"O38",18.0
"O39",27.0
"O40",18.0
"O41",18.0
"O42",9.0
"O43",27.0
"O44",9.0
"O45",12.0
"O46",12.0
"O47",15.0
"O48",18.0
"O49",18.0
"O50",18.0
"O51",12.0
"O52",15.0
"O53",15.0
"O54",18.0
"O55",18.0
"O56",21.0
"O57",30.0
"O58",15.0
"O59",15.0
"O60",18.0
"O61",18.0
"O62",18.0
"O63",27.0
"O64",24.0
"O65",18.0
"O66",24.0
"O67",15.0
"O68",36.0
"O69",33.0
"O70",24.0
"O71",36.0
"O72",36.0
"O73",39.0
"O74",36.0
"O75",36.0
"O76",36.0
"O77",36.0
"O78",36.0
"O79",36.0
"O80",36.0
"O81",39.0
"O82",39.0
"O83",39.0
"O84",39.0
"O85",39.0
"O86",27.0
"O87",39.0
"O88",27.0
"O89",36.0
"O90",27.0
"O91",27.0
"O92",36.0
"O93",30.0
"O94",30.0
"O95",30.0
"O96",39.0
"O97",30.0
"O98",30.0
"O99",30.0
"O100",30.0
"O101",30.0
"O102",30.0
"O103",30.0
"O104",30.0
"O105",30.0
"O106",30.0
"O107",30.0
"O108",30.0
"O109",33.0
"O110",30.0
"O111",33.0
"O112",30.0
"O113",33.0
"O114",30.0
"O115",33.0
"O116",33.0
"O117",33.0
"O118",33.0
"O119",33.0
"O120",33.0
"O121",45.0
"O122",45.0
"O123",33.0
"O124",45.0
"O125",48.0
"O126",48.0
"O127",48.0
"O128",39.0
"O129",42.0
"O130",39.0
"O131",39.0
"O132",39.0
"O133",39.0
"O134",42.0
"O135",39.0
"O136",39.0
"O137",39.0
"O138",39.0
"O139",39.0
"O140",42.0
"O141",42.0
"O142",42.0
"O143",42.0
"O144",42.0
"O145",42.0
"O146",42.0
"O147",42.0
"O148",42.0
"O149",42.0
"O150",42.0
"O151",45.0
"O152",45.0
"O153",45.0
"O154",45.0
"O155",45.0
"O156",48.0
"O157",48.0
"O158",48.0
"O159",48.0
"O160",48.0
"O161",45.0
"O162",45.0
"O163",48.0
"O164",48.0
"O165",48.0
"O166",48.0
"O167",48.0
"O168",48.0
"O169",48.0
"O170",48.0
"O171",48.0
"O172",48.0
