"order","t"
"O1",18.0
"O2",18.0
"O3",9.0
"O4",9.0
"O5",15.0
"O6",24.0
"O7",27.0
"O8",18.0
"O9",3.0
"O10",18.0
"O11",15.0
"O12",21.0
"O13",12.0
"O14",36.0
"O15",24.0
"O16",21.0
"O17",18.0
"O18",15.0
"O19",18.0
"O20",42.0
"O21",18.0
"O22",12.0
"O23",18.0
"O24",24.0
"O25",24.0
"O26",27.0
"O27",15.0
"O28",15.0
"O29",36.0
"O30",9.0
"O31",15.0
"O32",27.0
"O33",18.0
"O34",15.0
"O35",27.0
"O36",21.0
"O37",15.0
"O38",21.0
"O39",12.0
"O40",15.0
"O41",21.0
"O42",18.0
"O43",18.0
"O44",18.0
"O45",24.0
"O46",18.0
"O47",24.0
"O48",18.0
"O49",18.0
"O50",18.0
"O51",21.0
"O52",21.0
"O53",18.0
"O54",27.0
"O55",21.0
"O56",21.0
"O57",18.0
"O58",18.0
"O59",30.0
"O60",36.0
"O61",24.0
"O62",18.0
"O63",21.0
"O64",21.0
"O65",21.0
"O66",21.0
"O67",24.0
"O68",21.0
"O69",30.0
"O70",21.0
"O71",24.0
"O72",24.0
"O73",24.0
"O74",27.0
"O75",30.0
"O76",27.0
"O77",30.0
"O78",24.0
"O79",30.0
"O80",24.0
"O81",24.0
"O82",24.0
"O83",27.0
"O84",36.0
"O85",27.0
"O86",48.0
"O87",27.0
"O88",27.0
"O89",27.0
"O90",27.0
"O91",27.0
"O92",27.0
"O93",27.0
"O94",27.0
"O95",27.0
"O96",27.0
"O97",27.0
"O98",27.0
"O99",30.0
"O100",36.0
"O101",30.0
"O102",30.0
"O103",30.0
"O104",33.0
"O105",30.0
"O106",30.0
"O107",30.0
"O108",30.0
"O109",30.0
"O110",33.0
"O111",30.0
"O112",33.0
"O113",33.0
"O114",33.0
"O115",33.0
"O116",39.0
"O117",33.0
"O118",33.0
"O119",33.0
"O120",33.0
"O121",36.0
"O122",30.0
"O123",33.0
"O124",33.0
"O125",33.0
"O126",48.0
"O127",33.0
"O128",36.0
"O129",42.0
"O130",36.0
"O131",36.0
"O132",36.0
"O133",39.0
"O134",36.0
"O135",36.0
"O136",39.0
"O137",36.0
"O138",39.0
"O139",48.0
"O140",39.0
"O141",39.0
"O142",39.0
"O143",39.0
"O144",39.0
"O145",39.0
"O146",42.0
"O147",45.0
"O148",42.0
"O149",42.0
"O150",42.0
"O151",39.0
"O152",42.0
"O153",42.0
"O154",42.0
"O155",42.0
"O156",45.0
"O157",48.0
"O158",48.0
"O159",48.0
"O160",48.0
"O161",48.0
"O162",48.0
"O163",51.0
