"order","t"
"O1",9.0
"O2",15.0
"O3",9.0
"O4",15.0
"O5",18.0
"O6",18.0
"O7",15.0
"O8",15.0
"O9",12.0
"O10",18.0
"O11",18.0
"O12",12.0
"O13",15.0
"O14",12.0
"O15",9.0
"O16",36.0
"O17",21.0
"O18",15.0
"O19",12.0
"O20",21.0
"O21",15.0
"O22",18.0
"O23",15.0
"O24",15.0
"O25",15.0
"O26",18.0
"O27",12.0
"O28",24.0
"O29",15.0
"O30",15.0
"O31",18.0
"O32",18.0
"O33",18.0
"O34",15.0
"O35",24.0
"O36",15.0
"O37",15.0
"O38",15.0
"O39",30.0
"O40",18.0
"O41",18.0
"O42",21.0
"O43",18.0
"O44",15.0
"O45",18.0
"O46",24.0
"O47",15.0
"O48",18.0
"O49",30.0
"O50",18.0
"O51",24.0
"O52",18.0
"O53",21.0
"O54",18.0
"O55",18.0
"O56",18.0
"O57",18.0
"O58",18.0
"O59",27.0
"O60",18.0
"O61",21.0
"O62",18.0
"O63",18.0
"O64",27.0
"O65",24.0
"O66",18.0
"O67",27.0
"O68",24.0
"O69",21.0
"O70",21.0
"O71",21.0
"O72",27.0
"O73",24.0
"O74",27.0
"O75",27.0
"O76",24.0
"O77",27.0
"O78",30.0
"O79",27.0
"O80",30.0
"O81",27.0
"O82",30.0
"O83",33.0
"O84",30.0
"O85",30.0
"O86",30.0
"O87",30.0
"O88",30.0
"O89",30.0
"O90",30.0
"O91",30.0
"O92",30.0
"O93",30.0
"O94",30.0
"O95",30.0
"O96",30.0
"O97",30.0
"O98",33.0
"O99",33.0
"O100",33.0
"O101",33.0
"O102",33.0
"O103",30.0
"O104",33.0
"O105",33.0
"O106",33.0
"O107",33.0
"O108",33.0
"O109",33.0
"O110",33.0
"O111",33.0
"O112",33.0
"O113",33.0
"O114",33.0
"O115",33.0
"O116",33.0
"O117",33.0
"O118",33.0
"O119",33.0
"O120",36.0
"O121",33.0
"O122",36.0
"O123",36.0
"O124",36.0
"O125",36.0
"O126",36.0
"O127",36.0
"O128",36.0
"O129",36.0
"O130",42.0
"O131",36.0
"O132",36.0
"O133",36.0
"O134",36.0
"O135",36.0
"O136",36.0
"O137",39.0
"O138",36.0
"O139",36.0
"O140",36.0
"O141",39.0
"O142",39.0
"O143",39.0
"O144",39.0
"O145",39.0
"O146",39.0
"O147",42.0
"O148",39.0
"O149",42.0
"O150",42.0
"O151",42.0
"O152",42.0
"O153",42.0
"O154",42.0
"O155",45.0
"O156",45.0
"O157",45.0
"O158",45.0
"O159",45.0
"O160",45.0
"O161",42.0
"O162",42.0
"O163",42.0
"O164",45.0
"O165",45.0
"O166",45.0
"O167",45.0
"O168",45.0
"O169",45.0
"O170",45.0
"O171",45.0
"O172",45.0
"O173",45.0
"O174",45.0
"O175",45.0
"O176",45.0
"O177",45.0
"O178",45.0
"O179",42.0
"O180",42.0
"O181",42.0
"O182",48.0
"O183",48.0
"O184",48.0
"O185",45.0
"O186",45.0
